Brand,Title,Rating,Price
GRECIILOOKS,Women's Jeans || High Waist Straight Fit Denim | Non-Stretchable Flared Full Length High Rise Jeans for Women | Straight Wide Leg Jeans || Casual Office Wear,,699
KOTTY,Women Flared High Rise Multicolor Jeans (Pack of 2),2.3,"1,099"
Buynewtrend,Denim Solid High Rise Women Skinny Jeans,3.5,499
CHANNEL-F,"Women's High Waist Jeans, Ankle Length, Strechable Denim Jeans for Women",,699
CHANNEL-F,"Women's High Waist Jeans, Ankle Length, Strechable Denim Jeans for Women & Girls",,899
ADBUCKS,Women's Slim Fit Jeggings,3.8,744
ADBUCKS,Women's Slim Fit Jegging,3.6,749
KOTTY,Women High Rise Cotton Lycra Regular Length Straight fit Jet Black Solid Jeans,3.4,549
MM-21,Knitted Denim Skinny Fit Capri for Women,3.9,699
AKA CHIC,Women's Regular Jeans,3.9,"1,310"
Miss Chase,Women's Blue Skinny Fit High Rise Ankle Length Denim Stretchable Jeans,4.0,799
Levi's,Women's Mid Rise 312 Slim Fit Jeans,4.0,
Amazon Brand - Symbol,Women's Ankle Length High Rise Skinny Jeans,3.8,846
AKA CHIC,Women's Mid Rise Pull On Flare Fit Jegging,3.7,889
Allen Solly,Women's Relaxed Fit Cotton Jeans,4.3,"1,459"
AKA CHIC,Women's High Rise Slim Fit Jeans,3.8,"1,209"
High Star Clothing,HIGH Star Women Plus Size Blue Mom-Fit Acid Wash Cropped Jeans,4.3,929
Levi's,Women Jeans,4.0,"1,176"
KOTTY,"Womens High Rise Cotton Lycra Jeans(Faded Blue,30)",3.8,549
ADBUCKS,"Womens Slim Fit Denim Lycra Stretchable Jeggings Mid Rise, Ankle Length with Elasticated Waistband (Multi Color & Plus Size Also Available) (Size 30-46 Inch)",4.0,746
Miss Chase,Women's Blue Skinny Fit High Rise Clean Look Regular Length Stretchable Denim Jeans,3.8,799
Amazon Brand - Symbol,Women's Wide Leg High Rise Full Length Jeans,4.3,989
INKD,Women Jeans,3.5,699
ADBUCKS,Womens High-Rise Stretchable Clean Look Joggers,4.2,899
Dolce Crudo,Women's Blue Skinny High Rise Distressed Regular Length Denim Jeans,3.9,860
AKA CHIC,Women's Regular Jeans,4.0,"1,008"
Amazon Brand - Symbol,Women's Ankle Length Mid Rise Slim Jeans,3.6,874
GO COLORS,Women Mid Rise Denim Jogger,4.0,"1,199"
Miss Chase,Women's Skinny Fit High Rise Cropped Denim Jeans,3.7,799
AKA CHIC,Women's Skinny Fit Jeans,4.0,889
ADBUCKS,Wide Leg High-Rise Women's Jeans,,799
Miss Chase,Women's Relaxed Fit Denim Jeans,3.9,799
Amazon Brand - Symbol,Women's Skinny Jeans,3.7,693
AKA CHIC,Women's Slim Fit Jeans,3.6,"1,215"
High Star Clothing,HIGH Star Women Plus Size Blue Wide Leg Stretchable Jeans,,594
ADBUCKS,Womens Denim Slim Fit Jeggings (Plus Size Also Available),4.1,681
Miss Chase,Women's Black Relaxed Fit Mid Rise Regular Length Stretchable Denim Joggers,3.8,919
AKA CHIC,Women's Skinny Fit Jeans,3.8,788.
KOTTY,Women Cotton Lycra High Rise Jeans,3.7,499
ADBUCKS,Women's Denim Silm Fit Stretch Jeggings,4.0,715
PARIS HAMILTON,Paris Hamiton Women Plus Size Tummy Tucker High Waist Jegging Stretchable Denim Jeans,3.7,999
Generic,SVC Women's Straight fit Cotton Jeans,,549
Globus,Women Black Solid Relaxed Fit Slip-On Tregging,,"1,045"
A C CREATION,Women's Slim Fit Jeans,,489
Greenwich,Women's Skinny Fit Jegging,4.2,629
VECTRO,Jeggings Ankle Length Stretchable Striped Jeggings for Girls & Women Cotton Blend,,399
DENIM UNCLE,"Women's White Wide Leg Jeans, Loose Fit Jeans, Slouchy Jeans, Relaxed Denim Jeans, Balloon Fit Jeans for Girl's",,980
AKA CHIC,Women's Relaxed Fit Jeans,3.4,809
ADBUCKS,Women's Denim Silm Fit Stretch Jeggings,4.0,702
Levi's,Women's Mid Rise 711 Skinny Fit Jeans,3.9,"1,208"
AKA CHIC,Women's Skinny Fit Jeans,3.9,858
Levi's,Women Jeans,3.8,"1,215"
Levi's,Women's Mid Rise 710 Super Skinny Fit Jeans,3.9,"1,449"
FUNDAY FASHION,Women's Regular Fit Denim Joggers,3.4,345
AKA CHIC,Women Jeans,4.0,393.
AKA CHIC,High Rise Wide Leg Jeans,3.9,979
dockstreet,"High Rise Waist, Wide Leg, Baggy fit, Korean/Influencer Style Jeans for Women with Buttoned Closure Non Stretchable Soft Denim Fabric. Trending Fashion wear for Women",5.0,798
VERO MODA,Women's Boyfriend Regular Jeans,3.9,689
GO COLORS,Women Mid Rise Premium Stretch Jeggings,4.0,"1,299"
ADBUCKS,Women's Straight Fit High-Rise Jeans,3.7,869
THE EXOCRAFTS,Denim Jeans for Women High Waist Wide Leg Jeans Ladies Trousers,,
Nifty,Women's Denim Straight Fit Color Jeans,3.0,699
CHANNEL-F,"Women's High Waist Jeans, Ankle Length, Strechable Denim Jeans for Women",,699
CHANNEL-F,"Women's High Waist Jeans, Ankle Length, Strechable Denim Jeans for Women & Girls",,899
ADBUCKS,"Womens Slim Fit Denim Lycra Stretchable Jeggings Mid Rise, Ankle Length with Elasticated Waistband (Multi Color & Plus Size Also Available) (Size 30-46 Inch)",4.0,746
ADBUCKS,Women's Slim Fit Jeggings,3.8,744
AKA CHIC,Women Women Jeans,3.8,907
AKA CHIC,Women Relaxed Jeans,4.0,948
Mode By Red Tape,Women's Regular Casual Pants,,459
INKD,Women's Buttersoft Mid -Rise Skinny Fit Jeans- Stretchable,5.0,939
KOTTY,Womens Cotton Lycra Blend Bootleg Fit High Rise Jeans,3.0,549
PANJWANI ENTERPRIS,Women's High Waist Slant Pocket Denim Jeans Ripped Straight Leg Pants,,
Miss Chase,Women's Navy Blue Skinny Fit High Rise Regular Length Clean Look Stretchable Denim Jeans,4.0,799
INKD,Women's Airflex Skinny Fit Jeans -Lightweight & Stretchable,,699
Nifty,Women's Denim Stretchable Slim Fit Jeans,3.8,699
Reelize,"Women Plus Size Denim Jeans | High Waist | Plazo Jeans | Wide Leg Jeans | Ideal for Party, Casual & Office Wear",,967
Miss Chase,Women's Black Regular Length Mid Rise Clean Look Regular Fit Denim Joggers,3.6,799
AKA CHIC,Flare Fit Women Jeans,4.1,"1,059"
PANJWANI ENTERPRIS,Women Solid Denim Straight Comfortable Fit Casual Wear 6 Pocket Jeans,,
Levi's,Women Jeans,,"1,559"
AKA CHIC,Women Jeans,3.9,629.
AKA CHIC,Straight Women Jeans,4.0,"1,215"
KOTTY,Women Jeans,3.7,549
Generic,Girls Jeans || Women Jeans || 6 Pocket Wideleg Jeans || Cargo Jeans,4.7,899
